Ton;Grundfrekvens;2:a deltonen;3:e;4:e;5:e;6:e;7:e;8:e;9:e;10:e;11:e;12:e;13:e;14:e;15:e;16:e;17:e;18:e;19:e;20:e;21:a;22:a;23:e;24:e;25:e;26:e;27:e;28:e;29:e;30:e
G1;49;98;147;196;245;294;343;392;440,99;489,99;538,99;587,99;636,99;685,99;734,99;783,99;832,99;881,99;930,99;979,99;1028,99;1077,99;1126,99;1175,99;1224,99;1273,99;1322,98;1371,98;1420,98;1469,98
G#1;51,91;103,83;155,74;207,65;259,57;311,48;363,39;415,3;467,22;519,13;571,04;622,96;674,87;726,78;778,7;830,61;882,52;934,44;986,35;1038,26;1090,17;1142,09;1194;1245,91;1297,83;1349,74;1401,65;1453,57;1505,48;1557,39
A1;55;110;165;220;275;330;385;440;495;550;605;660;715;770;825;880;935;990;1045;1100;1155;1210;1265;1320;1375;1430;1485;1540;1595;1650
A#1;58,27;116,54;174,81;233,08;291,35;349,62;407,89;466,16;524,43;582,7;640,98;699,25;757,52;815,79;874,06;932,33;990,6;1048,87;1107,14;1165,41;1223,68;1281,95;1340,22;1398,49;1456,76;1515,03;1573,3;1631,57;1689,84;1748,11
B1;61,74;123,47;185,21;246,94;308,68;370,41;432,15;493,88;555,62;617,35;679,09;740,82;802,56;864,3;926,03;987,77;1049,5;1111,24;1172,97;1234,71;1296,44;1358,18;1419,91;1481,65;1543,39;1605,12;1666,86;1728,59;1790,33;1852,06
C;65,41;130,81;196,22;261,63;327,03;392,44;457,84;523,25;588,66;654,06;719,47;784,88;850,28;915,69;981,1;1046,5;1111,91;1177,32;1242,72;1308,13;1373,53;1438,94;1504,35;1569,75;1635,16;1700,57;1765,97;1831,38;1896,79;1962,19
C#;69,3;138,59;207,89;277,18;346,48;415,77;485,07;554,37;623,66;692,96;762,25;831,55;900,84;970,14;1039,43;1108,73;1178,03;1247,32;1316,62;1385,91;1455,21;1524,5;1593,8;1663,1;1732,39;1801,69;1870,98;1940,28;2009,57;2078,87
D;73,42;146,83;220,25;293,66;367,08;440,5;513,91;587,33;660,75;734,16;807,58;880,99;954,41;1027,83;1101,24;1174,66;1248,08;1321,49;1394,91;1468,32;1541,74;1615,16;1688,57;1761,99;1835,4;1908,82;1982,24;2055,65;2129,07;2202,49
D#;77,78;155,56;233,35;311,13;388,91;466,69;544,47;622,25;700,04;777,82;855,6;933,38;1011,16;1088,94;1166,73;1244,51;1322,29;1400,07;1477,85;1555,63;1633,42;1711,2;1788,98;1866,76;1944,54;2022,33;2100,11;2177,89;2255,67;2333,45
E;82,41;164,81;247,22;329,63;412,03;494,44;576,85;659,26;741,66;824,07;906,48;988,88;1071,29;1153,7;1236,1;1318,51;1400,92;1483,32;1565,73;1648,14;1730,54;1812,95;1895,36;1977,77;2060,17;2142,58;2224,99;2307,39;2389,8;2472,21
F;87,31;174,61;261,92;349,23;436,54;523,84;611,15;698,46;785,76;873,07;960,38;1047,68;1134,99;1222,3;1309,61;1396,91;1484,22;1571,53;1658,83;1746,14;1833,45;1920,76;2008,06;2095,37;2182,68;2269,98;2357,29;2444,6;2531,9;2619,21
F#;92,5;185;277,5;369,99;462,49;554,99;647,49;739,99;832,49;924,99;1017,48;1109,98;1202,48;1294,98;1387,48;1479,98;1572,48;1664,97;1757,47;1849,97;1942,47;2034,97;2127,47;2219,97;2312,47;2404,96;2497,46;2589,96;2682,46;2774,96
G;98;196;294;392;489,99;587,99;685,99;783,99;881,99;979,99;1077,99;1175,99;1273,99;1371,98;1469,98;1567,98;1665,98;1763,98;1861,98;1959,98;2057,98;2155,97;2253,97;2351,97;2449,97;2547,97;2645,97;2743,97;2841,97;2939,97
G#;103,83;207,65;311,48;415,3;519,13;622,96;726,78;830,61;934,44;1038,26;1142,09;1245,91;1349,74;1453,57;1557,39;1661,22;1765,04;1868,87;1972,7;2076,52;2180,35;2284,18;2388;2491,83;2595,65;2699,48;2803,31;2907,13;3010,96;3114,79
A;110;220;330;440;550;660;770;880;990;1100;1210;1320;1430;1540;1650;1760;1870;1980;2090;2200;2310;2420;2530;2640;2750;2860;2970;3080;3190;3300
